fpr,tpr,threshold
0.018479184367034836,0.6309523809523809,0.2966666666666667
0.018691588785046728,0.6369047619047619,0.29333333333333333
0.018691588785046728,0.6398809523809523,0.2916666666666667
0.019116397621070518,0.6398809523809523,0.29
0.019116397621070518,0.6428571428571429,0.28833333333333333
0.019328802039082413,0.6458333333333334,0.2866666666666667
0.019328802039082413,0.6488095238095238,0.285
0.01954120645709431,0.6517857142857143,0.2833333333333333
0.019966015293118096,0.6547619047619048,0.28
0.020390824129141887,0.6547619047619048,0.27666666666666667
0.020815632965165677,0.6607142857142857,0.275
0.021240441801189464,0.6636904761904762,0.2733333333333333
0.022514868309260833,0.6666666666666666,0.27166666666666667
0.022939677145284623,0.6726190476190477,0.26666666666666666
0.02336448598130841,0.6726190476190477,0.2633333333333333
0.0237892948173322,0.6755952380952381,0.26
0.024214103653355988,0.6755952380952381,0.25833333333333336
0.024851316907391674,0.6845238095238095,0.255
0.024851316907391674,0.6904761904761905,0.25333333333333335
0.025276125743415465,0.6934523809523809,0.25
0.025276125743415465,0.6964285714285714,0.24833333333333332
0.02570093457943925,0.6964285714285714,0.24333333333333335
0.026338147833474938,0.7053571428571429,0.235
0.02697536108751062,0.7053571428571429,0.23333333333333334
0.02740016992353441,0.7113095238095238,0.23
0.02740016992353441,0.7172619047619048,0.22833333333333333
0.027824978759558198,0.7202380952380952,0.22666666666666666
0.027824978759558198,0.7232142857142857,0.225
0.02824978759558199,0.7291666666666666,0.22333333333333333
0.028462192013593884,0.7321428571428571,0.21833333333333332
0.02931180968564146,0.7351190476190477,0.21666666666666667
0.029736618521665252,0.7351190476190477,0.215
0.029949022939677144,0.7351190476190477,0.21333333333333335
0.031223449447748512,0.7351190476190477,0.20833333333333334
0.03143585386576041,0.7380952380952381,0.20666666666666667
0.03271028037383177,0.7380952380952381,0.20166666666666666
0.03292268479184367,0.7410714285714286,0.2
0.03334749362786746,0.7440476190476191,0.19833333333333333
0.034409515717926935,0.7440476190476191,0.19333333333333333
0.03462192013593883,0.7440476190476191,0.19
0.035046728971962614,0.7440476190476191,0.18833333333333332
0.035471537807986404,0.7470238095238095,0.18666666666666668
0.036321155480033986,0.7529761904761905,0.185
0.03653355989804588,0.7529761904761905,0.18333333333333332
0.037807986406117246,0.7529761904761905,0.18166666666666667
0.03802039082412914,0.7529761904761905,0.18
0.03865760407816483,0.7529761904761905,0.17833333333333334
0.03929481733220051,0.7559523809523809,0.17666666666666667
0.0397196261682243,0.7648809523809523,0.175
0.03993203058623619,0.7678571428571429,0.17333333333333334
0.04056924384027188,0.7678571428571429,0.17166666666666666
0.04099405267629567,0.7678571428571429,0.17
0.04226847918436703,0.7708333333333334,0.16833333333333333
0.04226847918436703,0.7767857142857143,0.16666666666666666
0.042693288020390824,0.7827380952380952,0.165
0.04290569243840272,0.7827380952380952,0.16333333333333333
0.04333050127442651,0.7857142857142857,0.16166666666666665
0.04481733220050977,0.7857142857142857,0.16
0.04524214103653356,0.7886904761904762,0.15833333333333333
0.04630416312659303,0.7886904761904762,0.15666666666666668
0.04800339847068819,0.7916666666666666,0.155
0.04885301614273577,0.7916666666666666,0.15333333333333332
