threshold,tp,tn,fp,fn,precision,recall,f1,fpr,positive_rate
0.3449999999999999,194,4638,70,142,0.7348484848484849,0.5773809523809523,0.6466666666666666,0.014868309260832626,0.052339413164155434
0.3499999999999999,191,4638,70,145,0.7318007662835249,0.5684523809523809,0.6398659966499162,0.014868309260832626,0.051744647105471844
0.3549999999999999,190,4642,66,146,0.7421875,0.5654761904761905,0.6418918918918919,0.014018691588785047,0.05075337034099921
0.35999999999999993,188,4642,66,148,0.7401574803149606,0.5595238095238095,0.6372881355932204,0.014018691588785047,0.05035685963521015
0.36499999999999994,187,4645,63,149,0.748,0.5565476190476191,0.6382252559726963,0.013381478334749362,0.049563838223632035
0.36999999999999994,184,4646,62,152,0.7479674796747967,0.5476190476190477,0.6323024054982819,0.013169073916737469,0.048770816812053926
0.37499999999999994,184,4650,58,152,0.7603305785123967,0.5476190476190477,0.6366782006920416,0.01231945624468989,0.047977795400475816
0.37999999999999995,184,4651,57,152,0.7634854771784232,0.5476190476190477,0.6377816291161179,0.012107051826677994,0.04777954004758128
0.38499999999999995,183,4653,55,153,0.7689075630252101,0.5446428571428571,0.6376306620209059,0.011682242990654205,0.0471847739888977
0.38999999999999996,182,4655,53,154,0.774468085106383,0.5416666666666666,0.637478108581436,0.011257434154630416,0.04659000793021412
0.39499999999999996,180,4656,52,156,0.7758620689655172,0.5357142857142857,0.6338028169014084,0.011045029736618521,0.045995241871530534
0.3999999999999999,178,4658,50,158,0.7807017543859649,0.5297619047619048,0.6312056737588653,0.010620220900594732,0.04520222045995242
0.4049999999999999,176,4660,48,160,0.7857142857142857,0.5238095238095238,0.6285714285714286,0.010195412064570943,0.04440919904837431
0.4099999999999999,174,4666,42,162,0.8055555555555556,0.5178571428571429,0.6304347826086957,0.008920985556499575,0.04282315622521808
0.4149999999999999,172,4668,40,164,0.8113207547169812,0.5119047619047619,0.6277372262773723,0.008496176720475786,0.04203013481363997
0.41999999999999993,171,4668,40,165,0.8104265402843602,0.5089285714285714,0.6252285191956124,0.008496176720475786,0.04183187946074544
0.42499999999999993,168,4669,39,168,0.8115942028985508,0.5,0.6187845303867403,0.00828377230246389,0.04103885804916733
0.42999999999999994,168,4670,38,168,0.8155339805825242,0.5,0.6199261992619925,0.008071367884451997,0.0408406026962728
0.43499999999999994,166,4673,35,170,0.8258706467661692,0.49404761904761907,0.6182495344506518,0.007434154630416313,0.039849325931800156
0.43999999999999995,165,4674,34,171,0.8291457286432161,0.49107142857142855,0.6168224299065421,0.007221750212404418,0.0394528152260111
0.44499999999999995,161,4674,34,175,0.8256410256410256,0.4791666666666667,0.6064030131826742,0.007221750212404418,0.03865979381443299
0.4499999999999999,158,4675,33,178,0.8272251308900523,0.47023809523809523,0.5996204933586338,0.007009345794392523,0.037866772402854874
0.4549999999999999,157,4675,33,179,0.8263157894736842,0.46726190476190477,0.596958174904943,0.007009345794392523,0.03766851704996035
0.4599999999999999,154,4677,31,182,0.8324324324324325,0.4583333333333333,0.5911708253358925,0.006584536958368734,0.03667724028548771
0.4649999999999999,153,4677,31,183,0.8315217391304348,0.45535714285714285,0.5884615384615385,0.006584536958368734,0.03647898493259318
0.4699999999999999,151,4678,30,185,0.8342541436464088,0.4494047619047619,0.5841392649903289,0.006372132540356839,0.03588421887390959
0.4749999999999999,151,4679,29,185,0.8388888888888889,0.4494047619047619,0.5852713178294574,0.006159728122344945,0.035685963521015066
0.4799999999999999,148,4679,29,188,0.8361581920903954,0.44047619047619047,0.5769980506822611,0.006159728122344945,0.03509119746233148
0.48499999999999993,144,4682,26,192,0.8470588235294118,0.42857142857142855,0.5691699604743083,0.0055225148683092605,0.033703409992069784
0.48999999999999994,140,4684,24,196,0.8536585365853658,0.4166666666666667,0.56,0.005097706032285472,0.03251387787470262
0.49499999999999994,139,4685,23,197,0.8580246913580247,0.41369047619047616,0.5582329317269077,0.004885301614273577,0.03211736716891356
0.49999999999999994,136,4687,21,200,0.8662420382165605,0.40476190476190477,0.5517241379310345,0.0044604927782497875,0.03112609040444092
0.5049999999999999,133,4688,20,203,0.869281045751634,0.3958333333333333,0.5439672801635992,0.004248088360237893,0.030333068992862807
0.5099999999999999,133,4688,20,203,0.869281045751634,0.3958333333333333,0.5439672801635992,0.004248088360237893,0.030333068992862807
0.5149999999999999,129,4688,20,207,0.8657718120805369,0.38392857142857145,0.531958762886598,0.004248088360237893,0.029540047581284694
0.5199999999999999,129,4689,19,207,0.8716216216216216,0.38392857142857145,0.5330578512396694,0.004035683942225999,0.029341792228390166
0.5249999999999999,127,4689,19,209,0.8698630136986302,0.37797619047619047,0.5269709543568465,0.004035683942225999,0.02894528152260111
0.5299999999999999,122,4689,19,214,0.8652482269503546,0.3630952380952381,0.5115303983228512,0.004035683942225999,0.02795400475812847
0.5349999999999999,120,4690,18,216,0.8695652173913043,0.35714285714285715,0.5063291139240507,0.0038232795242141037,0.027359238699444885
0.5399999999999999,119,4690,18,217,0.8686131386861314,0.3541666666666667,0.5031712473572939,0.0038232795242141037,0.027160983346550358
0.5449999999999999,117,4691,17,219,0.8731343283582089,0.3482142857142857,0.49787234042553197,0.003610875106202209,0.02656621728786677
0.5499999999999999,112,4693,15,224,0.8818897637795275,0.3333333333333333,0.4838012958963283,0.0031860662701784196,0.025178429817605076
0.5549999999999999,104,4693,15,232,0.8739495798319328,0.30952380952380953,0.45714285714285713,0.0031860662701784196,0.02359238699444885
0.5599999999999999,103,4696,12,233,0.8956521739130435,0.30654761904761907,0.4567627494456763,0.002548853016142736,0.022799365582870736
0.565,103,4696,12,233,0.8956521739130435,0.30654761904761907,0.4567627494456763,0.002548853016142736,0.022799365582870736
0.57,101,4696,12,235,0.8938053097345132,0.3005952380952381,0.44988864142538976,0.002548853016142736,0.02240285487708168
0.575,95,4698,10,241,0.9047619047619048,0.28273809523809523,0.4308390022675737,0.0021240441801189465,0.020816812053925455
0.58,92,4700,8,244,0.92,0.27380952380952384,0.4220183486238533,0.0016992353440951572,0.019825535289452814
0.585,92,4700,8,244,0.92,0.27380952380952384,0.4220183486238533,0.0016992353440951572,0.019825535289452814
0.59,89,4702,6,247,0.9368421052631579,0.2648809523809524,0.41299303944315546,0.001274426508071368,0.018834258524980173
